feature,variable_name,description,bank_finalized,feature_family,transform_family,window,direction,availability_class,sensitive,sensitive_kind,leakage_status,semantic_tags
F892,MIN_NET_BNKING_TXNS_L31D,Min Net Banking Total Txns - last 31D,False,NET_BANKING,MINIMUM,L31D,BOTH,BEHAVIORAL,False,,SAFE,LONG_WINDOW|MINIMUM|NET_BANKING|TRANSACTION_COUNT|WINDOW_L31D
F893,MIN_NET_BNKING_TXNS_CR_L31D,Min Net Banking Credit Txns - last 31D,False,NET_BANKING,MINIMUM,L31D,CREDIT,BEHAVIORAL,False,,SAFE,CREDIT|LONG_WINDOW|MINIMUM|NET_BANKING|TRANSACTION_COUNT|WINDOW_L31D
F894,MIN_NET_BNKING_TXNS_DB_L31D,Min Net Banking Debit Txns - last 31D,False,NET_BANKING,MINIMUM,L31D,DEBIT,BEHAVIORAL,False,,SAFE,DEBIT|LONG_WINDOW|MINIMUM|NET_BANKING|TRANSACTION_COUNT|WINDOW_L31D
F895,MIN_NET_BNKING_AMT_L31D,Min Net Banking Total Amount - last 31D,False,NET_BANKING,MINIMUM,L31D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|LONG_WINDOW|MINIMUM|NET_BANKING|WINDOW_L31D
F896,MIN_NET_BNKING_AMT_CR_L31D,Min Net Banking Credit Amount - last 31D,False,NET_BANKING,MINIMUM,L31D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|CREDIT|LONG_WINDOW|MINIMUM|NET_BANKING|WINDOW_L31D
F897,MIN_NET_BNKING_AMT_DB_L31D,Min Net Banking Debit Amount - last 31D,False,NET_BANKING,MINIMUM,L31D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|DEBIT|LONG_WINDOW|MINIMUM|NET_BANKING|WINDOW_L31D
F898,MIN_MOB_BNKING_TXNS_L31D,Min Mobile Banking Total Txns - last 31D,False,MOBILE_BANKING,MINIMUM,L31D,BOTH,BEHAVIORAL,False,,SAFE,LONG_WINDOW|MINIMUM|MOBILE_BANKING|TRANSACTION_COUNT|WINDOW_L31D
F899,MIN_MBNKING_TXNS_CR_L31D,Min Mobile Banking Total Amount - last 31D,False,MOBILE_BANKING,MINIMUM,L31D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|CREDIT|LONG_WINDOW|MINIMUM|MOBILE_BANKING|WINDOW_L31D
F900,MIN_MBNKING_TXNS_DB_L31D,Min Mobile Banking Credit Txns - last 31D,False,MOBILE_BANKING,MINIMUM,L31D,DEBIT,BEHAVIORAL,False,,SAFE,DEBIT|LONG_WINDOW|MINIMUM|MOBILE_BANKING|TRANSACTION_COUNT|WINDOW_L31D
F901,MIN_MOB_BNKING_AMT_L31D,Min Mobile Banking Debit Txns - last 31D,False,MOBILE_BANKING,MINIMUM,L31D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|LONG_WINDOW|MINIMUM|MOBILE_BANKING|TRANSACTION_COUNT|WINDOW_L31D
F902,MIN_MBNKING_AMT_CR_L31D,Min Mobile Banking Credit Amount - last 31D,False,MOBILE_BANKING,MINIMUM,L31D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|CREDIT|LONG_WINDOW|MINIMUM|MOBILE_BANKING|WINDOW_L31D
F903,MIN_MBNKING_AMT_DB_L31D,Min Mobile Banking Debit Amount - last 31D,False,MOBILE_BANKING,MINIMUM,L31D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|DEBIT|LONG_WINDOW|MINIMUM|MOBILE_BANKING|WINDOW_L31D
F904,MIN_POS_PYMT_TXNS_L31D,Min Merchant Payment Total Txns - last 31D,False,POS_MERCHANT,MINIMUM,L31D,BOTH,BEHAVIORAL,False,,SAFE,LONG_WINDOW|MINIMUM|POS_MERCHANT|TRANSACTION_COUNT|WINDOW_L31D
F905,MIN_POS_PYMT_TXNS_CR_L31D,Min Merchant Payment Credit Txns - last 31D,False,POS_MERCHANT,MINIMUM,L31D,CREDIT,BEHAVIORAL,False,,SAFE,CREDIT|LONG_WINDOW|MINIMUM|POS_MERCHANT|TRANSACTION_COUNT|WINDOW_L31D
F906,MIN_POS_PYMT_TXNS_DB_L31D,Min Merchant Payment Debit Txns - last 31D,False,POS_MERCHANT,MINIMUM,L31D,DEBIT,BEHAVIORAL,False,,SAFE,DEBIT|LONG_WINDOW|MINIMUM|POS_MERCHANT|TRANSACTION_COUNT|WINDOW_L31D
F907,MIN_POS_PYMT_AMT_L31D,Min Merchant Payment Total Amount - last 31D,False,POS_MERCHANT,MINIMUM,L31D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|LONG_WINDOW|MINIMUM|POS_MERCHANT|WINDOW_L31D
F908,MIN_POS_PYMT_AMT_CR_L31D,Min Merchant Payment Credit Amount - last 31D,False,POS_MERCHANT,MINIMUM,L31D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|CREDIT|LONG_WINDOW|MINIMUM|POS_MERCHANT|WINDOW_L31D
F909,MIN_POS_PYMT_AMT_DB_L31D,Min Merchant Payment Debit Amount - last 31D,False,POS_MERCHANT,MINIMUM,L31D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|DEBIT|LONG_WINDOW|MINIMUM|POS_MERCHANT|WINDOW_L31D
F910,MIN_BBPS_TXNS_L31D,Min Bharat Bill Payment System Total Txns - last 31D,False,BBPS,MINIMUM,L31D,BOTH,BEHAVIORAL,False,,SAFE,BBPS|LONG_WINDOW|MINIMUM|TRANSACTION_COUNT|WINDOW_L31D
F911,MIN_BBPS_TXNS_CR_L31D,Min Bharat Bill Payment System Credit Txns - last 31D,False,BBPS,MINIMUM,L31D,CREDIT,BEHAVIORAL,False,,SAFE,BBPS|CREDIT|LONG_WINDOW|MINIMUM|TRANSACTION_COUNT|WINDOW_L31D
F912,MIN_BBPS_TXNS_DB_L31D,Min Bharat Bill Payment System Debit Txns - last 31D,False,BBPS,MINIMUM,L31D,DEBIT,BEHAVIORAL,False,,SAFE,BBPS|DEBIT|LONG_WINDOW|MINIMUM|TRANSACTION_COUNT|WINDOW_L31D
F913,MIN_BBPS_AMT_L31D,Min Bharat Bill Payment System Total Amount - last 31D,False,BBPS,MINIMUM,L31D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|BBPS|LONG_WINDOW|MINIMUM|WINDOW_L31D
F914,MIN_BBPS_AMT_CR_L31D,Min Bharat Bill Payment System Credit Amount - last 31D,False,BBPS,MINIMUM,L31D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|BBPS|CREDIT|LONG_WINDOW|MINIMUM|WINDOW_L31D
F915,MIN_BBPS_AMT_DB_L31D,Min Bharat Bill Payment System Debit Amount - last 31D,False,BBPS,MINIMUM,L31D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|BBPS|DEBIT|LONG_WINDOW|MINIMUM|WINDOW_L31D
F916,MIN_APB_TXNS_L31D,Min Aadhar Payment Bridge Total Txns - last 31D,False,AADHAAR_PAYMENT_BRIDGE,MINIMUM,L31D,BOTH,BEHAVIORAL,False,,SAFE,AADHAAR_PAYMENT_BRIDGE|LONG_WINDOW|MINIMUM|TRANSACTION_COUNT|WINDOW_L31D
F917,MIN_APB_TXNS_CR_L31D,Min Aadhar Payment Bridge Credit Txns - last 31D,False,AADHAAR_PAYMENT_BRIDGE,MINIMUM,L31D,CREDIT,BEHAVIORAL,False,,SAFE,AADHAAR_PAYMENT_BRIDGE|CREDIT|LONG_WINDOW|MINIMUM|TRANSACTION_COUNT|WINDOW_L31D
F918,MIN_APB_TXNS_DB_L31D,Min Aadhar Payment Bridge Debit Txns - last 31D,False,AADHAAR_PAYMENT_BRIDGE,MINIMUM,L31D,DEBIT,BEHAVIORAL,False,,SAFE,AADHAAR_PAYMENT_BRIDGE|DEBIT|LONG_WINDOW|MINIMUM|TRANSACTION_COUNT|WINDOW_L31D
F919,MIN_APB_AMT_L31D,Min Aadhar Payment Bridge Total Amount - last 31D,False,AADHAAR_PAYMENT_BRIDGE,MINIMUM,L31D,BOTH,BEHAVIORAL,False,,SAFE,AADHAAR_PAYMENT_BRIDGE|AMOUNT|LONG_WINDOW|MINIMUM|WINDOW_L31D
F920,MIN_APB_AMT_CR_L31D,Min Aadhar Payment Bridge Credit Amount - last 31D,False,AADHAAR_PAYMENT_BRIDGE,MINIMUM,L31D,CREDIT,BEHAVIORAL,False,,SAFE,AADHAAR_PAYMENT_BRIDGE|AMOUNT|CREDIT|LONG_WINDOW|MINIMUM|WINDOW_L31D
F921,MIN_APB_AMT_DB_L31D,Min Aadhar Payment Bridge Debit Amount - last 31D,False,AADHAAR_PAYMENT_BRIDGE,MINIMUM,L31D,DEBIT,BEHAVIORAL,False,,SAFE,AADHAAR_PAYMENT_BRIDGE|AMOUNT|DEBIT|LONG_WINDOW|MINIMUM|WINDOW_L31D
F922,MIN_LOAN_TXNS_L31D,Min Loan Total Txns - last 31D,False,LOAN,MINIMUM,L31D,BOTH,BEHAVIORAL,False,,SAFE,LOAN|LONG_WINDOW|MINIMUM|TRANSACTION_COUNT|WINDOW_L31D
F923,MIN_LOAN_TXNS_CR_L31D,Min Loan Credit Txns - last 31D,False,LOAN,MINIMUM,L31D,CREDIT,BEHAVIORAL,False,,SAFE,CREDIT|LOAN|LONG_WINDOW|MINIMUM|TRANSACTION_COUNT|WINDOW_L31D
F924,MIN_LOAN_TXNS_DB_L31D,Min Loan Debit Txns - last 31D,False,LOAN,MINIMUM,L31D,DEBIT,BEHAVIORAL,False,,SAFE,DEBIT|LOAN|LONG_WINDOW|MINIMUM|TRANSACTION_COUNT|WINDOW_L31D
F925,MIN_LOAN_AMT_L31D,Min Loan Total Amount - last 31D,False,LOAN,MINIMUM,L31D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|LOAN|LONG_WINDOW|MINIMUM|WINDOW_L31D
F926,MIN_LOAN_AMT_CR_L31D,Min Loan Credit Amount - last 31D,False,LOAN,MINIMUM,L31D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|CREDIT|LOAN|LONG_WINDOW|MINIMUM|WINDOW_L31D
F927,MIN_LOAN_AMT_DB_L31D,Min Loan Debit Amount - last 31D,False,LOAN,MINIMUM,L31D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|DEBIT|LOAN|LONG_WINDOW|MINIMUM|WINDOW_L31D
F928,MIN_STDNG_INSTR_L31D,Min Standing Instruction Total Txns - last 31D,False,STANDING_INSTRUCTION,MINIMUM,L31D,BOTH,BEHAVIORAL,False,,SAFE,LONG_WINDOW|MINIMUM|STANDING_INSTRUCTION|TRANSACTION_COUNT|WINDOW_L31D
F929,MIN_STDNG_INSTR_CR_TXNS_L31D,Min Standing Instruction Credit Txns - last 31D,False,STANDING_INSTRUCTION,MINIMUM,L31D,CREDIT,BEHAVIORAL,False,,SAFE,CREDIT|LONG_WINDOW|MINIMUM|STANDING_INSTRUCTION|TRANSACTION_COUNT|WINDOW_L31D
F930,MIN_STDNG_INSTR_DB_TXNS_L31D,Min Standing Instruction Debit Txns - last 31D,False,STANDING_INSTRUCTION,MINIMUM,L31D,DEBIT,BEHAVIORAL,False,,SAFE,DEBIT|LONG_WINDOW|MINIMUM|STANDING_INSTRUCTION|TRANSACTION_COUNT|WINDOW_L31D
F931,MIN_STDNG_INSTR_AMT_L31D,Min Standing Instruction Total Amount - last 31D,False,STANDING_INSTRUCTION,MINIMUM,L31D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|LONG_WINDOW|MINIMUM|STANDING_INSTRUCTION|WINDOW_L31D
F932,MIN_STDNG_INSTR_AMT_CR_L31D,Min Standing Instruction Credit Amount - last 31D,False,STANDING_INSTRUCTION,MINIMUM,L31D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|CREDIT|LONG_WINDOW|MINIMUM|STANDING_INSTRUCTION|WINDOW_L31D
F933,MIN_STDNG_INSTR_AMT_DB_L31D,Min Standing Instruction Debit Amount - last 31D,False,STANDING_INSTRUCTION,MINIMUM,L31D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|DEBIT|LONG_WINDOW|MINIMUM|STANDING_INSTRUCTION|WINDOW_L31D
F934,MAX_CASH_TXNS_L7D,Max Cash Total Txns - last 7D,False,CASH,MAXIMUM,L7D,BOTH,BEHAVIORAL,False,,SAFE,CASH|MAXIMUM|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7D
F935,MAX_CASH_TXNS_CR_L7D,Max Cash Credit Txns - last 7D,False,CASH,MAXIMUM,L7D,CREDIT,BEHAVIORAL,False,,SAFE,CASH|CREDIT|MAXIMUM|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7D
F936,MAX_CASH_TXNS_DB_L7D,Max Cash Debit Txns - last 7D,False,CASH,MAXIMUM,L7D,DEBIT,BEHAVIORAL,False,,SAFE,CASH|DEBIT|MAXIMUM|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7D
F937,MAX_CASH_AMT_L7D,Max Cash Total Amount - last 7D,False,CASH,MAXIMUM,L7D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|CASH|MAXIMUM|SHORT_WINDOW|WINDOW_L7D
F938,MAX_CASH_AMT_CR_L7D,Max Cash Credit Amount - last 7D,False,CASH,MAXIMUM,L7D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|CASH|CREDIT|MAXIMUM|SHORT_WINDOW|WINDOW_L7D
F939,MAX_CASH_AMT_DB_L7D,Max Cash Debit Amount - last 7D,False,CASH,MAXIMUM,L7D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|CASH|DEBIT|MAXIMUM|SHORT_WINDOW|WINDOW_L7D
F940,MAX_CHQ_TXNS_L7D,Max Cheque Total Txns - last 7D,False,CHEQUE,MAXIMUM,L7D,BOTH,BEHAVIORAL,False,,SAFE,CHEQUE|MAXIMUM|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7D
F941,MAX_CHQ_TXNS_CR_L7D,Max Cheque Credit Txns - last 7D,False,CHEQUE,MAXIMUM,L7D,CREDIT,BEHAVIORAL,False,,SAFE,CHEQUE|CREDIT|MAXIMUM|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7D
F942,MAX_CHQ_TXNS_DB_L7D,Max Cheque Debit Txns - last 7D,False,CHEQUE,MAXIMUM,L7D,DEBIT,BEHAVIORAL,False,,SAFE,CHEQUE|DEBIT|MAXIMUM|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7D
F943,MAX_CHQ_AMT_L7D,Max Cheque Total Amount - last 7D,False,CHEQUE,MAXIMUM,L7D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|CHEQUE|MAXIMUM|SHORT_WINDOW|WINDOW_L7D
F944,MAX_CHQ_AMT_CR_L7D,Max Cheque Credit Amount - last 7D,False,CHEQUE,MAXIMUM,L7D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|CHEQUE|CREDIT|MAXIMUM|SHORT_WINDOW|WINDOW_L7D
F945,MAX_CHQ_AMT_DB_L7D,Max Cheque Debit Amount - last 7D,False,CHEQUE,MAXIMUM,L7D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|CHEQUE|DEBIT|MAXIMUM|SHORT_WINDOW|WINDOW_L7D
F946,MAX_NON_CASH_CHQ_TXNS_L7D,Max Non Cash Non Cheque Total Txns - last 7D,False,NON_CASH_CHQ,MAXIMUM,L7D,BOTH,BEHAVIORAL,False,,SAFE,MAXIMUM|NON_CASH_CHQ|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7D
F947,MAX_NON_CASH_CHQ_TXNS_CR_L7D,Max Non Cash Non Cheque Credit Txns - last 7D,False,NON_CASH_CHQ,MAXIMUM,L7D,CREDIT,BEHAVIORAL,False,,SAFE,CREDIT|MAXIMUM|NON_CASH_CHQ|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7D
F948,MAX_NON_CASH_CHQ_TXNS_DB_L7D,Max Non Cash Non Cheque Debit Txns - last 7D,False,NON_CASH_CHQ,MAXIMUM,L7D,DEBIT,BEHAVIORAL,False,,SAFE,DEBIT|MAXIMUM|NON_CASH_CHQ|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7D
F949,MAX_NON_CASH_CHQ_AMT_L7D,Max Non Cash Non Cheque Total Amount - last 7D,False,NON_CASH_CHQ,MAXIMUM,L7D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|MAXIMUM|NON_CASH_CHQ|SHORT_WINDOW|WINDOW_L7D
F950,MAX_NON_CASH_CHQ_AMT_CR_L7D,Max Non Cash Non Cheque Credit Amount - last 7D,False,NON_CASH_CHQ,MAXIMUM,L7D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|CREDIT|MAXIMUM|NON_CASH_CHQ|SHORT_WINDOW|WINDOW_L7D
F951,MAX_NON_CASH_CHQ_AMT_DB_L7D,Max Non Cash Non Cheque Debit Amount - last 7D,False,NON_CASH_CHQ,MAXIMUM,L7D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|DEBIT|MAXIMUM|NON_CASH_CHQ|SHORT_WINDOW|WINDOW_L7D
F952,MAX_CI_NON_CASH_CHQ_TXNS_L7D,Max Customer Induced Non Cash Non Cheque Total Txns - last 7D,False,NON_CASH_CHQ,MAXIMUM,L7D,BOTH,BEHAVIORAL,False,,SAFE,MAXIMUM|NON_CASH_CHQ|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7D
F953,MAX_CI_NON_CASH_CHQ_TXNS_CR_L7D,Max Customer Induced Non Cash Non Cheque Credit Txns - last 7D,False,NON_CASH_CHQ,MAXIMUM,L7D,CREDIT,BEHAVIORAL,False,,SAFE,CREDIT|MAXIMUM|NON_CASH_CHQ|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7D
F954,MAX_CI_NON_CASH_CHQ_TXNS_DB_L7D,Max Customer Induced Non Cash Non Cheque Debit Txns - last 7D,False,NON_CASH_CHQ,MAXIMUM,L7D,DEBIT,BEHAVIORAL,False,,SAFE,DEBIT|MAXIMUM|NON_CASH_CHQ|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7D
F955,MAX_CI_NON_CASH_CHQ_AMT_L7D,Max Customer Induced Non Cash Non Cheque Total Amount - last 7D,False,NON_CASH_CHQ,MAXIMUM,L7D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|MAXIMUM|NON_CASH_CHQ|SHORT_WINDOW|WINDOW_L7D
F956,MAX_CI_NON_CASH_CHQ_AMT_CR_L7D,Max Customer Induced Non Cash Non Cheque Credit Amount - last 7D,False,NON_CASH_CHQ,MAXIMUM,L7D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|CREDIT|MAXIMUM|NON_CASH_CHQ|SHORT_WINDOW|WINDOW_L7D
F957,MAX_CI_NON_CASH_CHQ_AMT_DB_L7D,Max Customer Induced Non Cash Non Cheque Debit Amount - last 7D,False,NON_CASH_CHQ,MAXIMUM,L7D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|DEBIT|MAXIMUM|NON_CASH_CHQ|SHORT_WINDOW|WINDOW_L7D
F958,MAX_CI_TXNS_L7D,Max Customer Induced Total Txns - last 7D,False,CASH_INTENSIVE,MAXIMUM,L7D,BOTH,BEHAVIORAL,False,,SAFE,CASH_INTENSIVE|MAXIMUM|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7D
F959,MAX_CI_TXNS_CR_L7D,Max Customer Induced Credit Txns - last 7D,False,CASH_INTENSIVE,MAXIMUM,L7D,CREDIT,BEHAVIORAL,False,,SAFE,CASH_INTENSIVE|CREDIT|MAXIMUM|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7D
F960,MAX_CI_TXNS_DB_L7D,Max Customer Induced Debit Txns - last 7D,False,CASH_INTENSIVE,MAXIMUM,L7D,DEBIT,BEHAVIORAL,False,,SAFE,CASH_INTENSIVE|DEBIT|MAXIMUM|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7D
F961,MAX_CI_AMT_L7D,Max Customer Induced Total Amount - last 7D,False,CASH_INTENSIVE,MAXIMUM,L7D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|CASH_INTENSIVE|MAXIMUM|SHORT_WINDOW|WINDOW_L7D
F962,MAX_CI_AMT_CR_L7D,Max Customer Induced Credit Amount - last 7D,False,CASH_INTENSIVE,MAXIMUM,L7D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|CASH_INTENSIVE|CREDIT|MAXIMUM|SHORT_WINDOW|WINDOW_L7D
F963,MAX_CI_AMT_DB_L7D,Max Customer Induced Debit Amount - last 7D,False,CASH_INTENSIVE,MAXIMUM,L7D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|CASH_INTENSIVE|DEBIT|MAXIMUM|SHORT_WINDOW|WINDOW_L7D
F964,MAX_ATM_TXNS_L7D,Max ATM Total Txns - last 7D,False,ATM,MAXIMUM,L7D,BOTH,BEHAVIORAL,False,,SAFE,ATM|MAXIMUM|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7D
F965,MAX_ATM_TXNS_CR_L7D,Max ATM Credit Txns - last 7D,False,ATM,MAXIMUM,L7D,CREDIT,BEHAVIORAL,False,,SAFE,ATM|CREDIT|MAXIMUM|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7D
F966,MAX_ATM_TXNS_DB_L7D,Max ATM Debit Txns - last 7D,False,ATM,MAXIMUM,L7D,DEBIT,BEHAVIORAL,False,,SAFE,ATM|DEBIT|MAXIMUM|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7D
F967,MAX_ATM_AMT_L7D,Max ATM Total Amount - last 7D,False,ATM,MAXIMUM,L7D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|ATM|MAXIMUM|SHORT_WINDOW|WINDOW_L7D
F968,MAX_ATM_AMT_CR_L7D,Max ATM Credit Amount - last 7D,False,ATM,MAXIMUM,L7D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|ATM|CREDIT|MAXIMUM|SHORT_WINDOW|WINDOW_L7D
F969,MAX_ATM_AMT_DB_L7D,Max ATM Debit Amount - last 7D,False,ATM,MAXIMUM,L7D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|ATM|DEBIT|MAXIMUM|SHORT_WINDOW|WINDOW_L7D
F970,MAX_BI_FEES_CHRGS_TXNS_L7D,Max Bank Induced Fees Charges Total Txns - last 7D,False,FEES_AND_CHARGES,MAXIMUM,L7D,BOTH,BEHAVIORAL,False,,SAFE,FEES_AND_CHARGES|MAXIMUM|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7D
F971,MAX_BI_FEES_CHRGS_TXNS_CR_L7D,Max Bank Induced Fees Charges Credit Txns - last 7D,False,FEES_AND_CHARGES,MAXIMUM,L7D,CREDIT,BEHAVIORAL,False,,SAFE,CREDIT|FEES_AND_CHARGES|MAXIMUM|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7D
F972,MAX_BI_FEES_CHRGS_TXNS_DB_L7D,Max Bank Induced Fees Charges Debit Txns - last 7D,False,FEES_AND_CHARGES,MAXIMUM,L7D,DEBIT,BEHAVIORAL,False,,SAFE,DEBIT|FEES_AND_CHARGES|MAXIMUM|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7D
F973,MAX_BI_FEES_CHRGS_AMT_L7D,Max Bank Induced Fees Charges Total Amount - last 7D,False,FEES_AND_CHARGES,MAXIMUM,L7D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|FEES_AND_CHARGES|MAXIMUM|SHORT_WINDOW|WINDOW_L7D
F974,MAX_BI_FEES_CHRGS_AMT_CR_L7D,Max Bank Induced Fees Charges Credit Amount - last 7D,False,FEES_AND_CHARGES,MAXIMUM,L7D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|CREDIT|FEES_AND_CHARGES|MAXIMUM|SHORT_WINDOW|WINDOW_L7D
F975,MAX_BI_FEES_CHRGS_AMT_DB_L7D,Max Bank Induced Fees Charges Debit Amount - last 7D,False,FEES_AND_CHARGES,MAXIMUM,L7D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|DEBIT|FEES_AND_CHARGES|MAXIMUM|SHORT_WINDOW|WINDOW_L7D
F976,MAX_CI_FEES_CHRGS_TXNS_L7D,Max Customer Induced Fees Charges Total Txns - last 7D,False,FEES_AND_CHARGES,MAXIMUM,L7D,BOTH,BEHAVIORAL,False,,SAFE,FEES_AND_CHARGES|MAXIMUM|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7D
F977,MAX_CI_FEES_CHRGS_TXNS_CR_L7D,Max Customer Induced Fees Charges Credit Txns - last 7D,False,FEES_AND_CHARGES,MAXIMUM,L7D,CREDIT,BEHAVIORAL,False,,SAFE,CREDIT|FEES_AND_CHARGES|MAXIMUM|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7D
F978,MAX_CI_FEES_CHRGS_TXNS_DB_L7D,Max Customer Induced Fees Charges Debit Txns - last 7D,False,FEES_AND_CHARGES,MAXIMUM,L7D,DEBIT,BEHAVIORAL,False,,SAFE,DEBIT|FEES_AND_CHARGES|MAXIMUM|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7D
F979,MAX_CI_FEES_CHRGS_AMT_L7D,Max Customer Induced Fees Charges Total Amount - last 7D,False,FEES_AND_CHARGES,MAXIMUM,L7D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|FEES_AND_CHARGES|MAXIMUM|SHORT_WINDOW|WINDOW_L7D
F980,MAX_CI_FEES_CHRGS_AMT_CR_L7D,Max Customer Induced Fees Charges Credit Amount - last 7D,False,FEES_AND_CHARGES,MAXIMUM,L7D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|CREDIT|FEES_AND_CHARGES|MAXIMUM|SHORT_WINDOW|WINDOW_L7D
F981,MAX_CI_FEES_CHRGS_AMT_DB_L7D,Max Customer Induced Fees Charges Debit Amount - last 7D,False,FEES_AND_CHARGES,MAXIMUM,L7D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|DEBIT|FEES_AND_CHARGES|MAXIMUM|SHORT_WINDOW|WINDOW_L7D
F982,MAX_GST_TXNS_L7D,Max GST Total Txns - last 7D,False,GST,MAXIMUM,L7D,BOTH,BEHAVIORAL,False,,SAFE,GST|MAXIMUM|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7D
F983,MAX_GST_TXNS_CR_L7D,Max GST Credit Txns - last 7D,False,GST,MAXIMUM,L7D,CREDIT,BEHAVIORAL,False,,SAFE,CREDIT|GST|MAXIMUM|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7D
F984,MAX_GST_TXNS_DB_L7D,Max GST Debit Txns - last 7D,False,GST,MAXIMUM,L7D,DEBIT,BEHAVIORAL,False,,SAFE,DEBIT|GST|MAXIMUM|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7D
F985,MAX_GST_AMT_L7D,Max GST Total Amount - last 7D,False,GST,MAXIMUM,L7D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|GST|MAXIMUM|SHORT_WINDOW|WINDOW_L7D
F986,MAX_GST_AMT_CR_L7D,Max GST Credit Amount - last 7D,False,GST,MAXIMUM,L7D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|CREDIT|GST|MAXIMUM|SHORT_WINDOW|WINDOW_L7D
F987,MAX_GST_AMT_DB_L7D,Max GST Debit Amount - last 7D,False,GST,MAXIMUM,L7D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|DEBIT|GST|MAXIMUM|SHORT_WINDOW|WINDOW_L7D
