feature,dtype,n_missing,missing_rate,n_unique,is_constant,top_value_share,is_quasi_constant,zero_rate,min,max,mean,std,q01,q25,q50,q75,q99,is_integer_valued,top_values,content_hash,duplicate_of
F1186,Float64,2,0.00022,2,false,0.777313,false,0.777313,0.0,1.0,0.22268722466960353,0.41605002660563917,0.0,0.0,0.0,0.0,1.0,true,0.0:7058; 1.0:2022,3cab4076cd53dde36e84505b9f7f05135f76e2e0d6cbfa1923a935a625303a9c,
F1187,Float64,2,0.00022,2,false,0.997577,true,0.997577,0.0,1.0,0.002422907488986784,0.04916337059525716,0.0,0.0,0.0,0.0,0.0,true,0.0:9058; 1.0:22,289543b8bd868abb3ca6695bf8cb211c876b16d1478f827814d4c55eeb97efe9,
F1188,Float64,2,0.00022,2,false,0.777863,false,0.777863,0.0,1.0,0.22213656387665198,0.41568246398630543,0.0,0.0,0.0,0.0,1.0,true,0.0:7063; 1.0:2017,f676541d6b1d31d0f5c6a995a4d5eccf5eafd8a06bfe54fe13789089901b32e9,
F1189,Float64,2,0.00022,437,false,0.777313,false,0.777313,0.0,2256750.0,3845.779137665198,51457.63421729254,0.0,0.0,0.0,0.0,42913.6499999982,false,,e30e9dc4010794fae7920e48711b176a047248f4f021dbc862188e0c227b48e5,
F1190,Float64,2,0.00022,21,false,0.997577,true,0.997577,0.0,713367.0,185.6999207048458,10684.242845718407,0.0,0.0,0.0,0.0,0.0,false,0.0:9058; 713367.0:2; 236.0:2; 2033.74:1; 126562.5:1,757a2d3f55e55f1c319c08f64b7bdd71f94e2be343b3c290bc268724d3ca8c96,
F1191,Float64,2,0.00022,429,false,0.777863,false,0.777863,0.0,2256750.0,3669.6492709251097,50350.87283471393,0.0,0.0,0.0,0.0,36032.75099999737,false,,c5992c7fb791f2de3837df20e3a0bb8ea06977da24894ce3924fefce11aacb9b,
F1192,Float64,2,0.00022,2,false,0.795044,false,0.795044,0.0,1.0,0.20495594713656387,0.40366942771272374,0.0,0.0,0.0,0.0,1.0,true,0.0:7219; 1.0:1861,ddebea7c3703eee9a6c5300f0ff4ceb917f2277ad106f44eb1fed64ddf8cb47d,
F1193,Float64,2,0.00022,2,false,0.992291,true,0.992291,0.0,1.0,0.007709251101321586,0.08746324112893576,0.0,0.0,0.0,0.0,0.0,true,0.0:9010; 1.0:70,3200a01e8a01f0a4b3d866882628eacfc084471d2544a14590002f947f075449,
F1194,Float64,2,0.00022,2,false,0.800881,false,0.800881,0.0,1.0,0.19911894273127753,0.39933768840025075,0.0,0.0,0.0,0.0,1.0,true,0.0:7272; 1.0:1808,ee1167ab39afee9efe2d0194c4336a34232581b0a1ce1939e22d349efd57b422,
F1195,Float64,2,0.00022,240,false,0.795044,false,0.795044,0.0,2500000.0,1973.1636233480178,41588.001312395005,0.0,0.0,0.0,0.0,12017.309999999467,false,,8163d5b53d0960c24b5b29c3bbecc78feb47ad98a4c5e43c4ea1f9ad287ad668,
F1196,Float64,2,0.00022,58,false,0.992291,true,0.992291,0.0,2500000.0,1259.406629955947,37630.162339633964,0.0,0.0,0.0,0.0,0.0,false,,bb10fbfa0d2f8f067b5448eaa3eacad5d6138ec7f813737da3082f1690c2f490,
F1197,Float64,2,0.00022,208,false,0.800881,false,0.800881,0.0,1033591.0,774.297,18264.24529747472,0.0,0.0,0.0,0.0,6674.722799999897,false,,d707d05fa67e8e6f871670f140113cda485b9658a2c46d82bb4b19c8daa1f687,
F1198,Float64,2,0.00022,2,false,0.623018,false,0.623018,0.0,1.0,0.37698237885462554,0.4846304415611272,0.0,0.0,0.0,1.0,1.0,true,0.0:5657; 1.0:3423,6b3db6459b1d3bac2c9f905bb8d5e21091eaa361c3d4c6d8d20574f43b1fb356,
F1199,Float64,2,0.00022,2,false,0.987115,false,0.987115,0.0,1.0,0.012885462555066078,0.1127804389502367,0.0,0.0,0.0,0.0,1.0,true,0.0:8963; 1.0:117,ca1922a16948700dff0e83fd67d1c3e1cb6b09b502a99feafe18a7d4e7fa11e8,
F1200,Float64,2,0.00022,2,false,0.627423,false,0.627423,0.0,1.0,0.37257709251101323,0.4834908506342732,0.0,0.0,0.0,1.0,1.0,true,0.0:5697; 1.0:3383,37befd9e65d82e435aaeba76ff90776903516fc683531c3e99fb1888c2dd7ca6,
F1201,Float64,2,0.00022,758,false,0.623018,false,0.623018,0.0,47588317.0,98648.5015209251,1268844.9509204677,0.0,0.0,0.0,23.6,2134431.37999998,false,,bbd9114ae16d015af5e2b4133e02398ea35d710877cf7c935bcaf59ca07bb3f7,
F1202,Float64,2,0.00022,88,false,0.987115,false,0.987115,0.0,43742056.0,19226.49465859031,675054.0335364208,0.0,0.0,0.0,0.0,4446.999999999389,false,,31fcba04859ff6b1a18264087f332b8fb7d0e9ff817113063241b88ea0b6b3de,
F1203,Float64,2,0.00022,736,false,0.627423,false,0.627423,0.0,47588317.0,80944.91494162995,1076601.6645432066,0.0,0.0,0.0,23.6,1670495.7199999841,false,,811fd7a0599d866a64bf71c599f95d1f2134605443bcfbb541f127d0650daf00,
F1204,Float64,2,0.00022,2,false,0.773678,false,0.226322,0.0,1.0,0.7736784140969163,0.41844966920454935,0.0,1.0,1.0,1.0,1.0,true,1.0:7025; 0.0:2055,09c00895c4a965efcb36b1999a3b62445b450f5c47917ed401d3843886744738,
F1205,Float64,2,0.00022,2,false,0.709471,false,0.290529,0.0,1.0,0.7094713656387666,0.4540063292261796,0.0,0.0,1.0,1.0,1.0,true,1.0:6442; 0.0:2638,a2aa64bf3345a775231daad658221ad0c28520b8049fda677a5c60ba2a1c08bf,
F1206,Float64,2,0.00022,2,false,0.604185,false,0.604185,0.0,1.0,0.3958149779735683,0.48902503124620517,0.0,0.0,0.0,1.0,1.0,true,0.0:5486; 1.0:3594,50ccf0f54af3f65e0898831cdbd7487adcfc8160767701607c515c3a30794c1d,
F1207,Float64,2,0.00022,3498,false,0.226322,false,0.226322,0.0,7687900000.0,6735954.452486784,155191927.07465148,0.0,2399.25,100000.0,500000.0,60000000.0,false,,00d8c8f6fc8291cc52797c5f26305d2612a3ec6645fd637ed7c5f18919220d88,
F1208,Float64,2,0.00022,3466,false,0.290529,false,0.290529,0.0,7211345015.0,4547507.527220265,106874953.65019779,0.0,0.0,50000.0,350000.0,34127725.943999425,false,,6dfc282c52fabf824a7676e15e6d613b1fd09682a299af148f0138a5dd7d958c,
F1209,Float64,2,0.00022,1410,false,0.604185,false,0.604185,0.0,7687900000.0,4440515.061944935,123464219.64183827,0.0,0.0,0.0,200000.0,35000000.0,false,,119d57f440bc0ebfc5b48d0086646dd32752119156b648fad1b5477932119e7d,
F1210,Float64,2,0.00022,2,false,0.765859,false,0.234141,0.0,1.0,0.7658590308370044,0.42346071331636986,0.0,1.0,1.0,1.0,1.0,true,1.0:6954; 0.0:2126,2cfd12f70b2f702e2343b192ee59f07318cc236cb93edb7e1f391cb83f742405,
F1211,Float64,2,0.00022,2,false,0.726101,false,0.273899,0.0,1.0,0.7261013215859031,0.44595761275832935,0.0,0.0,1.0,1.0,1.0,true,1.0:6593; 0.0:2487,f1bebbc0f03ea03f66ed274005d3d712953492d6e0cc0441bcb99f0c64db3fa8,
F1212,Float64,2,0.00022,2,false,0.651542,false,0.348458,0.0,1.0,0.6515418502202643,0.4764819698916413,0.0,0.0,1.0,1.0,1.0,true,1.0:5916; 0.0:3164,3adc4a435f45b03fc32d8aec14b0dae4ad147ca5235ab7619dea0046e230fc74,
F1213,Float64,2,0.00022,1383,false,0.234141,false,0.234141,0.0,10000000.0,55047.16653083701,165169.25473255978,0.0,1000.0,48500.0,90000.0,200000.0,false,,d7ef19e3bbd03ffd4263055c5864d8f4beb2366b0172cdfc3cd84c702622ee58,
F1214,Float64,2,0.00022,1231,false,0.273899,false,0.273899,0.0,10000000.0,35814.006966960354,160411.40082148885,0.0,0.0,20000.0,50000.0,100000.0,false,,0dde416135f4ab23ecc7dba912ba51a58d287a2bb43ca13d97c52e04c3b87bb9,
F1215,Float64,2,0.00022,1321,false,0.348458,false,0.348458,0.0,1270766.0,41294.003813876654,56850.439467893215,0.0,0.0,25000.0,60000.0,200000.0,false,,769b631b549f1aa00e2042768839317879283f820c2c68a7ea39b7287127a1cc,
F1216,Float64,2,0.00022,2,false,0.635903,false,0.364097,0.0,1.0,0.6359030837004406,0.4811760092115058,0.0,0.0,1.0,1.0,1.0,true,1.0:5774; 0.0:3306,ee1c427f2e6d4b1d798fc18e52cbc8175e33f3754634d27a504bf4c970832c85,
F1217,Float64,2,0.00022,2,false,0.592511,false,0.407489,0.0,1.0,0.5925110132158591,0.4913671869730163,0.0,0.0,1.0,1.0,1.0,true,1.0:5380; 0.0:3700,3b25220c26ac3549b449a9881846fc2bad6d4c5f923bd69e926e8ca00a3ab6bb,
F1218,Float64,2,0.00022,2,false,0.831938,false,0.831938,0.0,1.0,0.16806167400881059,0.3739210447917673,0.0,0.0,0.0,0.0,1.0,true,0.0:7554; 1.0:1526,23762ea8fd69938ccf083f49066a70df551b63d0c41a1cc8df408261479acdda,
F1219,Float64,2,0.00022,3341,false,0.364097,false,0.364097,0.0,7687900000.0,6427531.497812775,155006729.44042566,0.0,0.0,29472.0,428000.0,50000000.0,false,,754e37955a41d240ac8311c273d5226d51346c0cc5be32a9ea27a4d7ffe29c6f,
F1220,Float64,2,0.00022,3269,false,0.407489,false,0.407489,0.0,7211345015.0,4528700.465309472,106875726.10540202,0.0,0.0,13676.0,300000.0,34127725.943999425,false,,d5689f72f2f3186c15332efdabde1f6ca093581f99527eb54d5b49faef1f21c5,
F1221,Float64,2,0.00022,828,false,0.831938,false,0.831938,0.0,7687900000.0,3619379.370685022,122869513.27395695,0.0,0.0,0.0,0.0,15000000.0,false,,fbc8157d0fee22c884c2d872859cdfdae53a93d4e5a595de952d114c4ce44900,
F1222,Float64,2,0.00022,2,false,0.809912,false,0.809912,0.0,1.0,0.19008810572687224,0.39237051085427116,0.0,0.0,0.0,0.0,1.0,true,0.0:7354; 1.0:1726,4250bc28e124a4d69220e9c8d536e0c0ba6418aa858dc342897d4a84e0aa9694,
F1223,Float64,2,0.00022,2,false,0.902974,false,0.902974,0.0,1.0,0.09702643171806168,0.2959937554512291,0.0,0.0,0.0,0.0,1.0,true,0.0:8199; 1.0:881,7c7336bd524bc640cfee3edc61f56ea0769adc54f795d57f42fb53d29d4fb20d,
F1224,Float64,2,0.00022,2,false,0.852313,false,0.852313,0.0,1.0,0.14768722466960352,0.3547896677455441,0.0,0.0,0.0,0.0,1.0,true,0.0:7739; 1.0:1341,e478cea2caeacfaae0f713b84b73b906b5520ac4fa62f8416be2c7e8d68c5507,
F1225,Float64,2,0.00022,624,false,0.809912,false,0.809912,0.0,10000000.0,55524.082655286344,254137.78501131997,0.0,0.0,0.0,0.0,1000000.0,false,,e904bfec6f2bf753910d3946b357cf24215eb09d1dabcb186c878313619a3dc9,
F1226,Float64,2,0.00022,334,false,0.902974,false,0.902974,0.0,10000000.0,18932.144693832597,166746.50203425973,0.0,0.0,0.0,0.0,500000.0,false,,4f4b1958a6cd304a4bc4ee1395c448d5546c6c21e4ccdb89d7944b8cc5977e2b,
F1227,Float64,2,0.00022,525,false,0.852313,false,0.852313,0.0,6500000.0,45017.60446035242,215732.88397066662,0.0,0.0,0.0,0.0,1000000.0,false,,0fe9b83a4b1bbbf2ca580ffdd8523eaf58d362849b634e1ea213bab0e66a1726,
F1228,Float64,2,0.00022,2,false,0.94989,false,0.94989,0.0,1.0,0.05011013215859031,0.2181721953266248,0.0,0.0,0.0,0.0,1.0,true,0.0:8625; 1.0:455,23bd25ffc9ddefaa4aa517e32438a4f013ea3d61fdbe656591867f30f35f108c,
F1229,Float64,2,0.00022,2,false,0.999229,true,0.999229,0.0,1.0,0.0007709251101321586,0.02775483353592175,0.0,0.0,0.0,0.0,0.0,true,0.0:9073; 1.0:7,eab8c86a83c7fa05498811ca23bef1c0d9b36ae7cc9290356cebcde4c71c970a,
F1230,Float64,2,0.00022,2,false,0.94989,false,0.94989,0.0,1.0,0.05011013215859031,0.2181721953266248,0.0,0.0,0.0,0.0,1.0,true,0.0:8625; 1.0:455,23bd25ffc9ddefaa4aa517e32438a4f013ea3d61fdbe656591867f30f35f108c,F1228
F1231,Float64,2,0.00022,306,false,0.94989,false,0.94989,0.0,100000.0,500.248524229075,3928.6247830374846,0.0,0.0,0.0,0.0,14327.472099999311,false,,60b8510be63d6e5ff5320b7c8ddb574590c761ba88eea30d5c25c3e8e289ab98,
F1232,Float64,2,0.00022,7,false,0.999229,true,0.999229,0.0,24875.76,6.870214757709251,376.16179430416355,0.0,0.0,0.0,0.0,0.0,false,0.0:9073; 24875.76:2; 2388.88:1; 5790.0:1; 393.15:1,a2b7367d691ffe193850b7e8ab05c0041815be5af46fa7c7a579de74230443c4,
F1233,Float64,2,0.00022,306,false,0.94989,false,0.94989,0.0,100000.0,500.248524229075,3928.6247830374846,0.0,0.0,0.0,0.0,14327.472099999311,false,,60b8510be63d6e5ff5320b7c8ddb574590c761ba88eea30d5c25c3e8e289ab98,F1231
F1234,Float64,2,0.00022,1,true,1.0,true,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,0.0:9080,86b24a5ef085d43bc14d42eb92c38033caa4ee7a348a43d7d6e184a74811852a,F833
F1235,Float64,2,0.00022,1,true,1.0,true,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,0.0:9080,86b24a5ef085d43bc14d42eb92c38033caa4ee7a348a43d7d6e184a74811852a,F833
F1236,Float64,2,0.00022,1,true,1.0,true,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,0.0:9080,86b24a5ef085d43bc14d42eb92c38033caa4ee7a348a43d7d6e184a74811852a,F833
F1237,Float64,2,0.00022,1,true,1.0,true,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,0.0:9080,86b24a5ef085d43bc14d42eb92c38033caa4ee7a348a43d7d6e184a74811852a,F833
F1238,Float64,2,0.00022,1,true,1.0,true,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,0.0:9080,86b24a5ef085d43bc14d42eb92c38033caa4ee7a348a43d7d6e184a74811852a,F833
F1239,Float64,2,0.00022,1,true,1.0,true,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,0.0:9080,86b24a5ef085d43bc14d42eb92c38033caa4ee7a348a43d7d6e184a74811852a,F833
F1240,Float64,2,0.00022,2,false,0.965749,false,0.965749,0.0,1.0,0.0342511013215859,0.18187348179392276,0.0,0.0,0.0,0.0,1.0,true,0.0:8769; 1.0:311,f4aa62e03af815f379abf4b38a77f5770b2013e378c95bf24779535f7551ebd2,
F1241,Float64,2,0.00022,2,false,0.965859,false,0.965859,0.0,1.0,0.034140969162995596,0.18159119854113795,0.0,0.0,0.0,0.0,1.0,true,0.0:8770; 1.0:310,436f989cbc816d633f04095e380f5cfec8da9e2110d5c6526b06f1d1652aa4fc,
F1242,Float64,2,0.00022,2,false,0.99989,true,0.99989,0.0,1.0,0.00011013215859030837,0.010493809103369122,0.0,0.0,0.0,0.0,0.0,true,0.0:9079; 1.0:1,2aceefb38d4cc7260ea4b9727b58933aebb9fd3f5593f0368cd4d9ca5fcbf6fc,
F1243,Float64,2,0.00022,136,false,0.965749,false,0.965749,0.0,86819.0,129.88504295154186,2392.5686934837654,0.0,0.0,0.0,0.0,1500.0,false,,3bc940f657350acd3fcffc2bba237cbe563a1ab1c4e35400d90d311a9b39a254,
F1244,Float64,2,0.00022,135,false,0.965859,false,0.965859,0.0,86819.0,129.77499008810574,2392.551682982709,0.0,0.0,0.0,0.0,1500.0,false,,a1027428b0865670f233d75c67cadb1480dac0323f7df2dec6b2cfe4bc4554fd,
F1245,Float64,2,0.00022,2,false,0.99989,true,0.99989,0.0,999.28,0.11005286343612335,10.486253560814694,0.0,0.0,0.0,0.0,0.0,false,0.0:9079; 999.28:1,647a0e6e4bd45b1b9aca87aa1bb10a52b8c0cd5e367c5e63a3f49bc1b626457f,
F1246,Float64,2,0.00022,2,false,0.785132,false,0.785132,0.0,1.0,0.21486784140969162,0.4107306320907064,0.0,0.0,0.0,0.0,1.0,true,0.0:7129; 1.0:1951,2dd65accaf940bb84307abedf95d302e54e00a5ba7e7a903dc7db9d2146d53f2,
F1247,Float64,2,0.00022,2,false,0.950441,false,0.950441,0.0,1.0,0.04955947136563876,0.21703301629843597,0.0,0.0,0.0,0.0,1.0,true,0.0:8630; 1.0:450,3e0d2e78645cf20abda71d04e4e4e09a45259bca5cf3c100a2a49df845ae34be,
F1248,Float64,2,0.00022,2,false,0.816079,false,0.816079,0.0,1.0,0.183920704845815,0.38741951315703443,0.0,0.0,0.0,0.0,1.0,true,0.0:7410; 1.0:1670,4bf1452fb1ed234f0fc87acb39278b72719ec6a38eeda7cbee27cdfac5a20b8f,
F1249,Float64,2,0.00022,1320,false,0.785132,false,0.785132,0.0,250000000.0,124220.68594823786,3368357.215647576,0.0,0.0,0.0,0.0,1144394.3902999961,false,,8b66f49642de9311139825662d9312d95f6b86107627bd165a604153b0d62ce5,
F1250,Float64,2,0.00022,252,false,0.950441,false,0.950441,0.0,50000000.0,15252.936698237885,535402.9654706833,0.0,0.0,0.0,0.0,200000.0,false,,09545caed11ae9e1d03a6541b568360811cf43f1199d42399cb28901ea9c506c,
F1251,Float64,2,0.00022,1215,false,0.816079,false,0.816079,0.0,250000000.0,111095.12454405286,3326230.3455821862,0.0,0.0,0.0,0.0,1004385.4799999968,false,,1f75b3f8815e63ad8f4d5dccb6e32d031fb3696cd557eaad1b140b80d9d2ed06,
F1252,Float64,2,0.00022,2,false,0.729075,false,0.729075,0.0,1.0,0.2709251101321586,0.44443750385406977,0.0,0.0,0.0,1.0,1.0,true,0.0:6620; 1.0:2460,0262898c5dd56b3dd145d29d9173c3807e4274c0a0326a1c226c47eab75cbc2e,
F1253,Float64,2,0.00022,2,false,0.918062,false,0.918062,0.0,1.0,0.08193832599118943,0.27427073618042264,0.0,0.0,0.0,0.0,1.0,true,0.0:8336; 1.0:744,0e8d638226647403c10f0013b365d309ee346e3d78f8756224eb487b8cbb80ce,
F1254,Float64,2,0.00022,2,false,0.780947,false,0.780947,0.0,1.0,0.21905286343612335,0.41360452905711576,0.0,0.0,0.0,0.0,1.0,true,0.0:7091; 1.0:1989,7411ec8cbe4e00561e8ad7882abc043be865f362e64036243c94902e5a159a70,
F1255,Float64,2,0.00022,1576,false,0.729075,false,0.729075,0.0,192200393.0,89873.07340969166,2329550.0269212024,0.0,0.0,0.0,295.0,705724.4799999578,false,,b9699e24856985f1fda3badcc46bdd85ca44f8e8983512fcf20cf8c7c482da25,
F1256,Float64,2,0.00022,530,false,0.918062,false,0.918062,0.0,192200393.0,72662.41725440529,2315318.4673605924,0.0,0.0,0.0,0.0,188509.07249999844,false,,d233a49103898c49a29b97d5b45cf6739533aa040fdb7daf96a205367b2fbe25,
F1257,Float64,2,0.00022,1246,false,0.780947,false,0.780947,0.0,15928078.0,20039.932387665198,301055.7553756776,0.0,0.0,0.0,0.0,250000.0,false,,a66d68f03e3d172c373a4fa6408c97555af9fb7b5c5b1fcb618a777d578b26c6,
F1258,Float64,16,0.001762,2,false,0.774211,false,0.774211,0.0,1.0,0.22578866093095082,0.41810063564405037,0.0,0.0,0.0,0.0,1.0,true,0.0:7019; 1.0:2047,f6c761adfa7f833806924342e6a04f4fe598dbff591aeed63df280fc74545cff,
F1259,Float64,16,0.001762,2,false,0.862784,false,0.862784,0.0,1.0,0.13721597176262962,0.34407520813895737,0.0,0.0,0.0,0.0,1.0,true,0.0:7822; 1.0:1244,052c6ff28f1250a46e490136792cb4502a6a8b92fd9cd62c76bb6e7a56fd21bb,
F1260,Float64,16,0.001762,2,false,0.875469,false,0.875469,0.0,1.0,0.12453121553055371,0.33018660161950325,0.0,0.0,0.0,0.0,1.0,true,0.0:7937; 1.0:1129,6d34e50f54eff2998206e7b1bfca956870d12c941101eac2909cfcec7fddb4fc,
F1261,Float64,16,0.001762,628,false,0.769027,false,0.769027,0.0,9800000.0,67491.84281932496,332935.43926265376,0.0,0.0,0.0,0.0,1069935.0,true,,db0315c9973831c72b61d11d458d933b943967ec61f47871610dd6a98aa7a1d6,
F1262,Float64,16,0.001762,419,false,0.862784,false,0.862784,0.0,9000000.0,34061.97474078977,254273.09137782466,0.0,0.0,0.0,0.0,732515.0000000098,true,,08823db028d04310d80ebb92a39cf9dfdc5a7cfdb6481c2bb18810fcc467d5e5,
F1263,Float64,16,0.001762,360,false,0.874145,false,0.874145,0.0,9800000.0,36101.35748952129,223295.87440123028,0.0,0.0,0.0,0.0,800000.0,true,,54dcd58332f9c2c0cbc97ba673b96c892a67646d94ff90bac2df27d13ef0a185,
F1264,Float64,16,0.001762,2,false,0.940326,false,0.940326,0.0,1.0,0.059673505404809174,0.23688093666969362,0.0,0.0,0.0,0.0,1.0,true,0.0:8525; 1.0:541,d0ea4efb2aae5ec15a6a634dd50ee6d2a5c48cade65f4ec0859727891ad1de01,F940
F1265,Float64,16,0.001762,2,false,0.973638,false,0.973638,0.0,1.0,0.026362232517096844,0.16021006589416087,0.0,0.0,0.0,0.0,1.0,true,0.0:8827; 1.0:239,7e94c0e6c19d17f2850779d410ae356bfe6d882548ef898703f761c3c0611490,F941
F1266,Float64,16,0.001762,2,false,0.947386,false,0.947386,0.0,1.0,0.05261416280608868,0.22326198216065152,0.0,0.0,0.0,0.0,1.0,true,0.0:8589; 1.0:477,7337f7c5600c63f6f7144701f60c9626ec96afa139cc8d1daa08db81a58ec14a,F942
F1267,Float64,16,0.001762,411,false,0.940326,false,0.940326,0.0,29891914.0,26921.04780608868,445654.23106822703,0.0,0.0,0.0,0.0,450000.0,false,,2b5da4293515445fd6b1c3bb2ecbe5a8adf4bf974ef5b5d6285baf35ecd15075,F943
F1268,Float64,16,0.001762,185,false,0.973638,false,0.973638,0.0,29891914.0,15395.438717185087,387108.8639581168,0.0,0.0,0.0,0.0,290849.95000000513,false,,138046b1521c112800fa8744fe6b9cabbd28ce15b79d394d6eebfe2311c6cd9d,F944
F1269,Float64,16,0.001762,369,false,0.947386,false,0.947386,0.0,11200000.0,18529.039781601587,238266.83700221023,0.0,0.0,0.0,0.0,318132.55000000104,false,,61cc6f816ea113993c202bd36825cb9122ed40e841b285c4c7967d50b7170bfd,F945
F1270,Float64,16,0.001762,2,false,0.73737,false,0.73737,0.0,1.0,0.26262960511802336,0.44006283146111586,0.0,0.0,0.0,1.0,1.0,true,0.0:6685; 1.0:2381,3faf5a9ae236450d3b2bf24913c9d496f6d410b413df5872aa8f72322d8b040e,
F1271,Float64,16,0.001762,2,false,0.919148,false,0.080852,0.0,1.0,0.9191484667990294,0.2726069749291515,0.0,1.0,1.0,1.0,1.0,true,1.0:8333; 0.0:733,4b535ac0aa988357b81daf1e4858c3dd4f752f1dd148b6a7a00f367c575cc64c,
F1272,Float64,16,0.001762,2,false,0.925767,false,0.074233,0.0,1.0,0.9257666004853298,0.2621503421915859,0.0,1.0,1.0,1.0,1.0,true,1.0:8393; 0.0:673,62247cae68b2f5b959fef717a722fe986dd57f983a642648c9720d05435c3871,
F1273,Float64,16,0.001762,5376,false,0.039157,false,0.039157,0.0,7211344041.0,5455094.689731966,112012975.72187354,0.0,49997.0,123000.0,521886.75,56231733.177000985,false,,578c17fb17762dbf212884bdc0b24821f2b4288b3dad1bff79e5ab5b19c065f8,
F1274,Float64,16,0.001762,3609,false,0.077542,false,0.077542,0.0,7211345015.0,4767286.311910435,107711318.83242275,0.0,36000.0,100000.0,495000.0,45700000.00000073,false,,1774009f120d7ffff3537844f30d1633343ef9ffb1f0533bb175e8f786f90942,
F1275,Float64,16,0.001762,2693,false,0.066402,false,0.052614,0.0,4689276821.0,3785354.7711692033,71704637.9300045,0.0,21964.0,85633.0,300000.0,50000000.0,false,,7ca177c1929bd8cd19e0086007cd5818ca620e5761a725acc2df404e4d3b2737,
F1276,Float64,16,0.001762,2,false,0.606883,false,0.606883,0.0,1.0,0.3931171409662475,0.48844247813306635,0.0,0.0,0.0,1.0,1.0,true,0.0:5502; 1.0:3564,de2d025286b5b25fb5e29536a581a65a96f2bc268a2d8290c8321e77e01351b5,
F1277,Float64,16,0.001762,2,false,0.851313,false,0.148687,0.0,1.0,0.8513125965144496,0.3557800718565832,0.0,1.0,1.0,1.0,1.0,true,1.0:7718; 0.0:1348,c15a4b80f449798f3662f5778e15a4ab4f909512773cab5dce524a52e274cefe,
F1278,Float64,16,0.001762,2,false,0.894441,false,0.105559,0.0,1.0,0.8944407677035076,0.3072726489186234,0.0,1.0,1.0,1.0,1.0,true,1.0:8109; 0.0:957,47cb93cfee790e4b91aa39b87bfab9020b0841f109d7ea8def5540e6e44f34a8,
F1279,Float64,16,0.001762,4612,false,0.068056,false,0.068056,0.0,7211344041.0,4881454.233175601,108278829.64831428,0.0,44950.0,99999.0,499609.5,50000000.0,false,,0b0d393ca6c83ea57c24dcee36dd179fb3d2ddd1f56349ac574e80e0b6f3f6e9,
F1280,Float64,16,0.001762,3121,false,0.14615,false,0.14615,0.0,7211345015.0,4374667.8869733075,107133751.17083631,0.0,18230.0,68970.5,299997.5,33576436.82500005,false,,ef01d674f6594ad89488b52ac33032f41048041e12d54d30fa7126584c83735f,
F1281,Float64,16,0.001762,2471,false,0.086698,false,0.086698,0.0,4689276821.0,2847863.3184072357,59894350.422419064,0.0,20000.0,70103.5,250000.0,31471531.500000272,false,,1c13ac8ebb1caf8958e053edd26a18e34c47d1e6710a6a5fb0e0c0a18093b74b,
F1282,Float64,16,0.001762,2,false,0.606883,false,0.606883,0.0,1.0,0.3931171409662475,0.48844247813306635,0.0,0.0,0.0,1.0,1.0,true,0.0:5502; 1.0:3564,de2d025286b5b25fb5e29536a581a65a96f2bc268a2d8290c8321e77e01351b5,F1276
F1283,Float64,16,0.001762,2,false,0.851313,false,0.148687,0.0,1.0,0.8513125965144496,0.3557800718565832,0.0,1.0,1.0,1.0,1.0,true,1.0:7718; 0.0:1348,c15a4b80f449798f3662f5778e15a4ab4f909512773cab5dce524a52e274cefe,F1277
F1284,Float64,16,0.001762,2,false,0.894441,false,0.105559,0.0,1.0,0.8944407677035076,0.3072726489186234,0.0,1.0,1.0,1.0,1.0,true,1.0:8109; 0.0:957,47cb93cfee790e4b91aa39b87bfab9020b0841f109d7ea8def5540e6e44f34a8,F1278
F1285,Float64,16,0.001762,4612,false,0.068056,false,0.068056,0.0,7211344041.0,4881454.233175601,108278829.64831428,0.0,44950.0,99999.0,499609.5,50000000.0,false,,0b0d393ca6c83ea57c24dcee36dd179fb3d2ddd1f56349ac574e80e0b6f3f6e9,F1279
F1286,Float64,16,0.001762,3121,false,0.14615,false,0.14615,0.0,7211345015.0,4374667.8869733075,107133751.17083631,0.0,18230.0,68970.5,299997.5,33576436.82500005,false,,ef01d674f6594ad89488b52ac33032f41048041e12d54d30fa7126584c83735f,F1280
F1287,Float64,16,0.001762,2471,false,0.086698,false,0.086698,0.0,4689276821.0,2847863.3184072357,59894350.422419064,0.0,20000.0,70103.5,250000.0,31471531.500000272,false,,1c13ac8ebb1caf8958e053edd26a18e34c47d1e6710a6a5fb0e0c0a18093b74b,F1281
F1288,Float64,16,0.001762,2,false,0.896426,false,0.896426,0.0,1.0,0.10357379219060225,0.3047068456104329,0.0,0.0,0.0,0.0,1.0,true,0.0:8127; 1.0:939,787493dc8529fb76e44bffb13d8ccdfd0f0639036dde958c506fd1aea3d14b13,F964
F1289,Float64,16,0.001762,1,true,1.0,true,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,0.0:9066,a057504a7edb57157a44f3a88c8242f39b54e60dfbc13e67b6e20a11d95da8b4,F616
